scientificname,required_fields_check,datasetname_fuzzy_col,taxonomicstatus_fuzzy_col,taxonrank_fuzzy_col,NOTUSED_scientificname,scientificnameid_fuzzy_col,isextinct_fuzzy_col,match_type_fuzzy_col,match_count_fuzzy_col,note_fuzzy_col,environment_aphia_WORMS,name_aphia_WORMS,aphiaid_WORMS,NOTUSED_scientificname,scientificnameid,status_aphia_WORMS,taxonmatch_matchcount_WORMS,taxonmatch_note_WORMS,NOTUSED_scientificname,id_gni,lsid_gni,taxonmatch_note_gni,taxonmatch_matchcount_gni,id_indexfungorum,NOTUSED_scientificname,taxonmatch_note_indexfungorum,taxonmatch_matchcount_indexfungorum,id_ipni,NOTUSED_scientificname,taxonmatch_note_ipni,taxonmatch_matchcount_ipni,guid_pesi,NOTUSED_scientificname,valid_guid_pesi,status_pesi,valid_authority_pesi,match_type_pesi,taxonmatch_matchcount_pesi,taxonmatch_note_pesi,NOTUSED_scientificname,name_status_paleo,id_paleo,taxonmatch_note_paleo,taxonmatch_matchcount_paleo,extant_paleo,id_itis,name_itis,status_name_itis,taxonmatch_note_itis,taxonmatch_matchcount_itis,irmng_id,url_irmng,scientificname_irmng,rank_irmng,status_irmng,unacceptreason_irmng,"valid_irmng id_irmng",valid_name_irmng,valid_authority_irmng,environment_irmng,isextinct_irmng,taxonmatch_matchcount_irmng,taxonmatch_note_irmng
Praecaprina,1,,,,,,,,,"Empty response",Marine,Praecaprina,883391,Praecaprina,883391,accepted,1,"matchtype: exact",Praecaprina,4871584,urn:lsid:globalnames.org:index:7921d527-3595-5dfa-afdd-9aa6c4875ecb,"Exact match",1,,,"No match found",0,,,"No match found",0,,,,,,,0,"No match found",Praecaprina,"belongs to",18646,,1,0,,,,"No exact match found",,1063787,https://www.irmng.org/aphia.php?p=taxdetails&id=1063787,Praecaprina,Genus,accepted,,1063787,Praecaprina,"Paquier, 1905",Marine,1,1,"matchtype: exact"
"Entolium (Entolium)",1,,,,,,,,,"Empty response",Marine,Entolium,835408,Entolium,835408,accepted,1,"matchtype: phonetic",,,,"No match found",0,,,"No match found",0,,,"No match found",0,,,,,,,0,"No match found","Entolium (Entolium)","belongs to",166407,,1,0,,,,"No exact match found",,1304688,https://www.irmng.org/aphia.php?p=taxdetails&id=1304688,Entolium,Genus,accepted,,1304688,Entolium,"Meek, 1865",Marine,1,1,"matchtype: phonetic"
Tetravaccinites,1,,,,,,,,,"Empty response",Marine,Tetravaccinites,883466,Vaccinites,883450,unaccepted,1,"matchtype: exact",Tetravaccinites,5122970,urn:lsid:globalnames.org:index:c757aacb-a472-57dc-a04b-20f46ffc6295,"Exact match",1,,,"No match found",0,,,"No match found",0,,,,,,,0,"No match found",Tetravaccinites,"belongs to",18678,,1,0,,,,"No exact match found",,1197552,https://www.irmng.org/aphia.php?p=taxdetails&id=1197552,Tetravaccinites,Genus,accepted,,1197552,Tetravaccinites,"Bilotte, 1981",Marine,1,1,"matchtype: exact"
Pseudopironaea,1,,,,,,,,,"Empty response",Freshwater,Pseudoperonia,602613,Pseudoperonia,602613,accepted,1,"matchtype: phonetic",Pseudopironaea,5113795,urn:lsid:globalnames.org:index:635b4f67-6aa0-5194-8208-14d99dc33a2d,"Exact match",1,,,"No match found",0,,,"No match found",0,,,,,,,0,"No match found",Pseudopironaea,"belongs to",18653,,1,0,,,,"No exact match found",,1440275,https://www.irmng.org/aphia.php?p=taxdetails&id=1440275,Pseudopironaea,Genus,accepted,,1440275,Pseudopironaea,"Bilotte, 1982",Marine,1,1,"matchtype: exact"
Hatayia,1,,,,,,,,,"Empty response",Marine,Hatayia,991101,Hatayia,991101,accepted,1,"matchtype: exact",Hatayia,11872719,urn:lsid:globalnames.org:index:f3c339ac-6ddb-52f5-9ffa-3151b6cc4a8a,"Exact match",1,,,"No match found",0,,,"No match found",0,,,,,,,4,"fuzzy matches(near_2) : more than one possibility",Hatayia,"belongs to",105339,,1,,,,,"No exact match found",,,,,,,,,,,,,21,"fuzzy matches : more than one possibility"
Branislavia,1,,,,,,,,,"Empty response",Marine,Branislavia,884071,Colveraia,884067,unaccepted,1,"matchtype: exact",Branislavia,5074811,urn:lsid:globalnames.org:index:e1ff8379-52c7-57be-8c29-66a76af7e909,"Exact match",1,,,"No match found",0,,,"No match found",0,urn:lsid:faunaeur.org:taxname:234283,Bratislavia,urn:lsid:faunaeur.org:taxname:234283,accepted,"Kosel, 1976",near_1,1,"One match found",Branislavia,"belongs to",18544,,1,0,,,,"No exact match found",,1027303,https://www.irmng.org/aphia.php?p=taxdetails&id=1027303,Branislavia,Genus,accepted,,1027303,Branislavia,"Sladic-Trifunovic, 1981",Marine,1,1,"matchtype: exact"
"Entolium irenense",1,,,,,,,,,"Empty response",,,,,,,0,"No match found",,,,"No match found",0,,,"No match found",0,,,"No match found",0,,,,,,,0,"No match found","Entolium irenense","belongs to",143337,,1,0,,,,"No exact match found",,,,,,,,,,,,,0,"No match found"
Cryptaulia,1,,,,,,,,,"Empty response",Marine,Cryptaulia,883476,Cryptaulia,883476,accepted,1,"matchtype: exact",Cryptaulia,4711792,urn:lsid:globalnames.org:index:9ab6a9a8-ab66-5031-a00d-a213297e2420,"Exact match",1,,,"No match found",0,,,"No match found",0,,,,,,,2,"fuzzy matches(near_2) : more than one possibility",Cryptaulia,"belongs to",18556,,1,0,,,,"No exact match found",,1426809,https://www.irmng.org/aphia.php?p=taxdetails&id=1426809,Cryptaulia,Genus,accepted,,1426809,Cryptaulia,"Pocta, 1890",Marine,1,1,"matchtype: exact"
Miseia,1,,,,,,,,,"Empty response",Marine,Miseia,991526,Miseia,991526,"taxon inquirendum",1,"matchtype: exact",Miseia,5048184,urn:lsid:globalnames.org:index:f0589c73-57df-56b4-8337-8d6dccbfdadd,"Exact match",1,,,"No match found",0,,,"No match found",0,urn:lsid:faunaeur.org:taxname:210258,Miselia,urn:lsid:faunaeur.org:taxname:210258,accepted,,near_1,1,"One match found",Miseia,"belongs to",18611,,1,0,,,,"No exact match found",,1071516,https://www.irmng.org/aphia.php?p=taxdetails&id=1071516,Miseia,Genus,accepted,,1071516,Miseia,"Patrulius, 1974",Marine,1,1,"matchtype: exact"
"Tetravaccinites collignoni",1,,,,,,,,,"Empty response",,,,,,,0,"No match found","Tetravaccinites collignoni",7110626,urn:lsid:globalnames.org:index:14ded521-1622-5bbf-ab7e-1a03f573be0d,"Exact match",1,,,"No match found",0,,,"No match found",0,,,,,,,0,"No match found","Tetravaccinites collignoni","belongs to",309266,,1,0,,,,"No exact match found",,,,,,,,,,,,,0,"No match found"
